# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Oct 16 23:30:34 GMT 2024 [seed=1123580]
# -beagle_GPU -beagle_order 1 -seed 1123580 -save_every 10000000 -save_stem combined_seqs_renamed_clear_6merpair_keep_len_masked_trimmed_manual_clear_without_wu1_renamed_clear_manual_clear_split_skygrid_26.xml_run0 combined_seqs_renamed_clear_6merpair_keep_len_masked_trimmed_manual_clear_without_wu1_renamed_clear_manual_clear_split_skygrid_26.xml
# keywords: skygrid
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
200000	-102890.23265085791	-5499.151953321513	-97391.0806975364	1.465450952384921	2020.6167408284368	325.1460148956481	4.474977737344044	4.720009764732357	4.541673257178964	4.771175962054958	5.351436907543893	5.125673967571189	5.515450830596582	5.075527750739715	5.13420602167135	5.042427441691821	5.056858291460675	5.591677297089072	5.169403428653268	4.682889882314968	4.1981578044628955	4.278883313361114	3.9089664614252566	3.5761961769971897	2.9818890516881544	3.233502450067185	2.500226695477913	2.4377240389118255	2.691676246537306	2.3011101169263743	1.7390549694944362	1.1840890846092538	-0.40890433114103397	1.0	4.833326068259871	0.2702696602831295	0.17856471264722124	0.18584419007922034	0.3653214369904289	0.1831217633224739	8.495524188541485E-4	8.495524188541502E-4	-97391.0806975364	0.0	-5118.218488865543
210000	-102879.87251717383	-5491.4860490665	-97388.38646810733	1.3646830618331782	2020.7175087189887	324.6144028578499	3.450210148640191	4.404614637732991	4.91412787348753	4.895692427030482	5.4850629749895035	5.299589929851483	5.212980681475052	5.418297138045744	4.8968635458277046	5.524854639260373	5.384091449508672	5.278217042290119	5.117382273446575	4.995540022147734	4.6219381358663885	4.030731911707941	4.229285697572041	3.413191493064435	2.997022521519911	3.0786040411881963	2.69840236283652	2.5710346805879634	2.5986396861366936	2.439767827518783	1.9634551179033262	0.9912393009098304	0.05176500418892238	1.0	4.6766774079213995	0.2683615095111758	0.18074116930910605	0.1831079498635829	0.36778937131613526	0.17829803991086807	8.584479526896866E-4	8.584479526896845E-4	-97388.38646810733	0.0	-5129.34715438217
220000	-102881.24409234627	-5480.702726428792	-97400.54136591748	1.376088360608438	2020.7061034202134	322.2870465457795	6.112807555690061	3.9483500192682905	4.233369867867062	4.71306400749076	5.181210705536106	5.461578197369522	5.696670951817073	5.402756637178914	5.361963576900842	5.328057809455795	5.383879703363869	5.257878846835622	4.674923362180005	4.866811496010599	4.399547518809078	4.037249109342603	3.9762602960005298	3.5916254308548203	2.927479675791684	2.931656085878837	2.6208790680387715	2.6716714555098133	2.354913867983817	2.0728468847392016	2.103181387961478	0.7911867296640137	-0.4387208206137009	1.0	4.68522216187318	0.26854900942112436	0.17930050264804992	0.18054392277078288	0.3716065651600429	0.18573231734291698	8.545000982845861E-4	8.545000982845851E-4	-97400.54136591748	0.0	-5109.851588081461
230000	-102862.56865660637	-5454.681075597299	-97407.88758100907	1.4401425510107657	2020.6420492298112	323.27952879797215	6.258156805117088	5.8903933958584505	5.497433236213968	5.844794496480165	5.501414099601535	5.288350377974357	5.992226657854916	5.854079804991349	5.347431193176354	5.186913490042166	5.23906285377977	5.059420570069033	4.940270132450291	5.1005861125141525	4.595684965437612	4.100916513919297	3.9478143390455935	3.5041567064970427	2.7874116641922835	2.748446112586464	3.0790970642711586	2.5890138866917134	2.4314505436907283	2.074914823086905	2.0518936024456416	1.0574217623721087	-0.14035144712658423	1.0	4.686888535758018	0.27134840466498283	0.17916990684557244	0.18292311187068697	0.36655857661875796	0.1781366682834936	8.694600716374157E-4	8.694600716374138E-4	-97407.88758100907	0.0	-5113.930964817189
240000	-102831.13854135896	-5397.456693845021	-97433.68184751394	1.2331562379708572	2020.849035542851	321.21239049946314	2.424725474092318	4.204290579220805	4.567515935302876	5.187991160208451	5.334390756581187	5.696146694221564	6.001343657616428	5.951439983267606	4.923179060771645	5.282290199775772	5.44333055509328	5.342783731443911	5.108130984401062	5.069875959766271	4.670180212807206	3.961108896586141	4.092487931152566	3.459252578300263	2.9418922108572083	2.7894074228464065	3.072235914442219	2.4939531590744837	2.8819735293305278	2.4387828716649147	2.2468439451625923	1.1724317576603405	-0.25104104354900697	1.0	4.656187066172662	0.2716749635027662	0.1797570005323493	0.18117300358773605	0.3673950323771485	0.17563342740001198	8.873385392517564E-4	8.873385392517513E-4	-97433.68184751394	0.0	-5091.361543399645
250000	-102835.53124075552	-5385.356148978764	-97450.17509177675	1.3480349359170545	2020.7341568449049	316.8598360314811	2.3734254352888087	3.6597860291148083	5.20499029431736	5.705437286719311	5.535660265676583	5.938658416509432	5.616479861998856	5.524800985314244	5.117222491239175	5.1180828565959615	4.731966295408319	5.8009524275567825	5.174020841790314	4.574022883661737	4.505627876243427	4.1590078349340125	4.006118682989922	3.5568156001586817	2.5664113188293345	2.740860837133954	2.990429583862644	2.369272183573272	2.1710590111693535	2.478041133753036	1.8895308892493918	1.1054381749122086	-0.4528042458030188	1.0	4.898009159593583	0.266263074350161	0.18029181417968337	0.1835117296497005	0.3699333818204551	0.18118540569495276	8.852450835832339E-4	8.852450835832364E-4	-97450.17509177675	0.0	-5075.382574652964
260000	-102819.71285314017	-5399.108028384736	-97420.60482475543	1.2234105538915934	2020.8587812269302	316.2652061279748	1.9813069708615285	2.5847883482298624	3.860771985665852	4.402880077236621	4.500653387038283	5.848623172525145	6.173421252704932	5.2140803605260295	5.624875051533365	5.194923419313668	4.986717424308365	5.836078247753456	5.17615341714822	4.7248778938350355	4.052300638766192	3.9161430332797895	3.7945989900715866	3.68315531948597	2.4090596316048196	2.8348675799980794	3.4814643423635485	2.9290511649208595	2.3868057987675897	2.343660967884667	1.9699184443180306	1.2478211115558238	-0.3626772497076532	1.0	4.783445531421803	0.27378686113006656	0.1783772493975056	0.17885542619854652	0.3689804632738813	0.17884327569381298	8.785107534405595E-4	8.78510753440558E-4	-97420.60482475543	0.0	-5076.841613675284
270000	-102782.76784592842	-5352.884644841541	-97429.88320108688	1.4489590118979845	2020.6332327689238	314.8283186453534	1.6819039578572343	3.0000213636711126	4.379532922626387	4.5641553843507285	4.981272699070488	5.363763759979373	5.252034530235831	5.106009037026448	5.476917047581638	5.18004874670076	4.909635931510517	5.2153559758723445	5.571178353385952	4.434457034548676	4.159131123315542	4.15672970947294	3.4695256097613965	3.6690236360823287	2.4687428604886468	2.8010746837359193	2.983395208663303	2.494747731675818	2.543966500848549	2.423681861711847	2.0020858176612006	1.3474744136931553	-0.47445612691999584	1.0	4.754683320245942	0.27034010444399886	0.17999036195516088	0.1808147676967632	0.36885476590407695	0.18766885594852142	8.868665418593338E-4	8.868665418593355E-4	-97429.88320108688	0.0	-5046.244919165974
280000	-102742.30911215348	-5330.1808467865485	-97412.12826536693	1.3720003709190123	2020.7101914099028	310.79834307783796	2.2116729891696356	2.5149856181185655	3.755339991627716	4.664571462449291	5.4903793340655795	5.810475290684695	5.3945053412104205	5.3168190484297035	5.489387297523501	5.065833911318439	4.59344937167517	5.288394384462895	5.522658080648302	4.535201290871366	4.1061906239945225	4.059949768470266	3.755462993844252	3.754884747700987	2.5262221317706257	2.7600946870755583	2.8603803429536026	2.5601960003841104	2.24640428718774	2.3947072871593185	1.7505006268912695	0.9700029179892862	-0.44146175453534964	1.0	4.625134034260967	0.270241817059281	0.18121946469128436	0.18333604383721436	0.36520267441222004	0.17944740145998936	8.807481211444013E-4	8.807481211444024E-4	-97412.12826536693	0.0	-5012.043028865091
290000	-102706.10284242476	-5312.294133033208	-97393.80870939155	1.4311802766179778	2020.6510115042038	309.86692364974226	2.021090143445582	5.160222622954468	5.53942792246745	5.162427688819428	5.920771686487415	5.475900747025281	5.425889286308449	5.30657306379087	5.684869691990439	5.350180982472361	5.025641244008546	5.547566914458148	5.668663305073666	4.411736161207165	4.03152413678893	4.019546930380748	3.7015859160612385	3.819971993948054	2.4723742899078203	2.4476560375130143	3.0239582386536834	2.5574763602318646	2.3090435463261145	2.345171366894825	1.533156218605704	1.0078037718577242	-0.5132785629249301	1.0	4.783691568634075	0.2765898770879702	0.17973869447331023	0.17993259745910528	0.36373883097961407	0.17463187574238256	8.885381492275908E-4	8.885381492275884E-4	-97393.80870939155	0.0	-5008.520954513177
